COMUNE,26/10,27/10,28/10,29/10,30/10,31/10,1/11,2/11,,26/10,27/10,28/10,29/10,30/10,31/10,1/11,2/11
Partinico,90,90,122,122,131,137,...,153,,"2,85","2,85","3,86","3,86","4,15","4,34",...,"4,85"
Petralia Soprana,1,2,2,2,2,3,...,3,,"0,32","0,64","0,64","0,64","0,64","0,96",...,"0,96"
Petralia Sottana,0,0,0,0,0,0,...,0,,"0,00","0,00","0,00","0,00","0,00","0,00",...,"0,00"
Piana degli Albanesi,,,,,,,...,,,,,,,,...,,
Polizzi Generosa,0,0,0,0,3,3,...,3,,"0,00","0,00","0,00","0,00","0,96","0,96",...,"0,96"
Pollina,1,5,5,5,5,5,...,4,,"0,35","1,73","1,73","1,73","1,73","1,73",...,"1,38"
Prizzi,0,0,0,0,0,0,...,3,,"0,00","0,00","0,00","0,00","0,00","0,00",...,"0,67"
Roccamena,3,6,6,6,6,6,...,6,,"2,10","4,20","4,20","4,20","4,20","4,20",...,"4,20"
Roccapalumba,0,0,0,0,0,0,...,0,,"0,00","0,00","0,00","0,00","0,00","0,00",...,"0,00"
San Cipirello,36,36,26,26,26,26,...,26,,"6,91","6,91","4,99","4,99","4,99","4,99",...,"4,99"
San Giuseppe Jato,58,58,38,38,38,38,...,41,,"6,93","6,93","4,54","4,54","4,54","4,54",...,"4,90"
San Mauro Castelverde,1,1,0,0,0,0,...,0,,"0,68","0,68","0,00","0,00","0,00","0,00",...,"0,00"
Santa Cristina Gela,,,,,,,...,,,,,,,,...,,
Santa Flavia,17,18,18,25,27,28,...,32,,"1,52","1,61","1,61","2,24","2,41","2,50",...,"2,86"
Sciara,0,0,0,0,0,0,...,0,,"0,00","0,00","0,00","0,00","0,00","0,00",...,"0,00"
Scillato,0,0,0,0,0,0,...,0,,"0,00","0,00","0,00","0,00","0,00","0,00",...,"0,00"
Sclafani Bagni,0,0,0,0,0,0,...,0,,"0,00","0,00","0,00","0,00","0,00","0,00",...,"0,00"
Termini Imerese,48,50,50,50,50,56,...,56,,"1,85","1,93","1,93","1,93","1,93","2,16",...,"2,16"
Terrasini,15,15,18,18,18,19,...,19,,"1,18","1,18","1,42","1,42","1,42","1,50",...,"1,50"
Torretta,55,55,55,55,55,54,...,54,,"12,73","12,73","12,73","12,73","12,73","12,50",...,"12,50"
Trabia,12,12,12,12,12,31,...,31,,"1,15","1,15","1,15","1,15","1,15","2,98",...,"2,98"
Trappeto,0,0,2,2,2,2,...,2,,"0,00","0,00","0,64","0,64","0,64","0,64",...,"0,64"
Ustica,,,,,,,...,,,,,,,,...,,
Valledolmo,0,0,0,0,0,0,...,0,,"0,00","0,00","0,00","0,00","0,00","0,00",...,"0,00"
Ventimiglia di Sicilia,0,0,0,0,0,0,...,0,,"0,00","0,00","0,00","0,00","0,00","0,00",...,"0,00"
Vicari,4,4,4,4,5,5,...,6,,"1,56","1,56","1,56","1,56","1,95","1,95",...,"2,34"
Villabate,34,34,32,35,37,41,...,41,,"1,70","1,70","1,60","1,75","1,85","2,05",...,"2,05"
Villafrati,90,90,48,48,23,23,...,27,,"27,51","27,51","14,67","14,67","7,03","7,03",...,"8,25"
