Pro Com,Distretto,COMUNE,Residenti al 31/12/2019,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31
82017,Cefalù,Campofelice di Roccella,7667,11,12,12,10,10,10,,6,7,6,6,6,6,,5,8,8,7,,7,,9,9,11,11,11,11,,11,11,11,21,19,,17,17,17,17,17,18,18,,18,18,17,,17,17,,17,,6,4,4,4,,1,,1,1,1,1,,4,4,4,,,4,,,9,9,9
82018,Corleone,Campofiorito,1209,0,0,0,0,0,0,,0,0,0,2,2,2,,2,2,2,4,,5,,6,6,7,10,11,11,,11,11,14,14,14,,14,18,18,18,18,16,16,,16,13,13,,13,4,,4,,2,2,0,0,,0,,0,0,0,0,,0,0,0,,,0,,,0,0,0
82019,Partinico,Camporeale,3135,1,1,1,1,1,1,,1,1,2,2,2,2,,2,4,4,6,,6,,5,9,9,9,9,12,,12,12,12,9,9,,9,11,11,11,9,9,9,,9,6,6,,6,6,,6,,3,3,0,0,,0,,0,0,2,2,,2,2,2,,,2,,,2,2,1
82020,Carini,Capaci,11577,6,8,8,8,7,7,,12,14,17,17,17,19,,19,22,26,26,,26,,26,25,25,25,18,18,,18,16,16,16,16,,16,16,12,12,12,12,18,,18,20,20,,20,20,,20,,34,34,34,34,,34,,26,26,26,26,,26,26,26,,,26,,,26,26,26
82021,Carini,Carini,39185,32,45,49,49,51,51,,52,80,96,96,96,101,,101,96,117,117,,117,,117,130,130,130,102,102,,102,92,92,92,92,,92,92,104,104,104,104,85,,85,88,88,,88,88,,88,,79,79,79,79,,79,,53,53,58,58,,58,58,58,,,58,,,58,58,58
82022,Cefalù,Castelbuono,8485,1,1,1,1,1,1,,1,0,0,0,0,0,,0,0,0,0,,0,,3,3,7,11,11,11,,11,11,11,11,52,,94,94,109,109,109,74,74,,58,58,78,,78,78,,78,,15,15,15,15,,11,,3,3,3,3,,1,1,1,,,1,,,1,1,1
82023,Bagheria,Casteldaccia,11682,11,11,11,9,9,9,,11,12,12,14,16,16,,20,15,15,23,,26,,28,35,35,43,42,42,,44,46,45,46,47,,42,42,49,42,49,49,62,,64,79,75,,82,87,,91,,94,87,87,85,,85,,69,69,59,59,,62,61,53,,,51,,,51,51,52
82024,Petralia Sottana,Castellana Sicula,3200,1,1,1,1,1,1,,1,1,1,1,1,2,,2,3,3,3,,4,,4,6,6,6,6,6,,6,6,6,6,6,,6,6,6,6,5,5,5,,3,3,1,,1,0,,0,,0,0,0,0,,0,,1,1,1,1,,1,1,1,,,1,,,1,1,1
82025,Lercara Friddi,Castronovo di Sicilia,2944,0,0,0,0,0,0,,1,1,1,1,1,1,,2,3,3,4,,5,,5,5,5,5,11,11,,11,11,11,15,15,,15,12,12,12,12,12,12,,10,10,10,,10,10,,10,,10,6,3,3,,3,,3,2,2,2,,2,2,2,,,2,,,2,2,5
82026,Misilmeri,Cefalà Diana,997,14,14,14,14,14,14,,14,14,14,14,14,14,,14,9,9,9,,9,,9,9,9,10,10,10,,10,10,10,10,10,,10,10,10,10,10,10,10,,10,10,10,,10,10,,10,,10,10,0,0,,0,,0,0,0,0,,0,0,0,,,0,,,0,0,0
82027,Cefalù,Cefalù,14155,7,10,10,14,14,14,,16,19,19,19,19,19,,29,29,29,29,,29,,26,26,26,31,31,45,,45,45,45,45,23,,24,24,25,25,25,25,25,,25,25,9,,9,9,,9,,3,5,5,5,,4,,3,3,3,3,,9,9,8,,,9,,,8,8,8
82028,Termini Imerese,Cerda,5079,8,9,9,11,11,12,,14,16,16,16,16,17,,21,21,21,24,,35,,35,32,32,29,29,33,,26,29,29,29,29,,24,24,26,26,24,24,31,,31,31,31,,35,35,,32,,30,30,17,17,,14,,14,14,3,3,,3,3,3,,,7,,,7,10,10
82029,Corleone,Chiusa Sclafani,2682,6,13,13,13,13,13,,13,13,13,18,17,17,,17,17,18,18,,14,,14,14,11,12,12,12,,12,13,13,11,11,,11,11,11,11,11,15,15,,15,11,11,,11,20,,26,,22,22,16,14,,12,,9,5,4,3,,3,3,3,,,3,,,1,1,1
82030,Misilmeri,Ciminna,3560,2,2,7,7,7,7,,7,7,7,17,17,14,,28,28,28,28,,28,,28,28,56,56,56,69,,69,69,80,80,80,,80,89,91,89,89,89,89,,89,89,89,,89,89,,89,,118,118,36,36,,36,,36,36,14,14,,14,14,14,,,14,,,13,13,13
82031,Carini,Cinisi,12240,6,5,7,7,8,8,,6,6,5,5,5,8,,8,7,8,8,,8,,8,10,10,10,13,13,,13,15,15,15,15,,15,15,10,10,10,10,16,,16,17,17,,17,17,,17,,15,15,15,15,,15,,20,20,26,26,,26,26,26,,,26,,,26,26,26
82032,Cefalù,Collesano,3858,1,2,2,2,2,2,,2,2,1,2,2,2,,2,2,2,2,,2,,2,2,2,4,4,4,,4,4,4,4,4,,10,10,8,8,8,8,8,,8,8,6,,6,6,,6,,0,0,0,0,,0,,0,0,0,0,,0,0,0,,,0,,,0,0,0
